feature,decile,bin,min_value,max_value,n,n_default,default_rate
leverage_ratio,6,"(1.129, 1.391]",1.1293693426247013,1.3908972900221015,9674,1056,0.10915856936117428
leverage_ratio,7,"(1.391, 1.766]",1.3909202975905515,1.7660525556708955,9675,1211,0.12516795865633074
leverage_ratio,8,"(1.766, 2.372]",1.766072234798233,2.3721924243952333,9675,1244,0.12857881136950905
leverage_ratio,9,"(2.372, 3.665]",2.372307511556276,3.664550222409221,9675,1234,0.1275452196382429
leverage_ratio,10,"(3.665, 87.585]",3.665010552105957,87.58535443275149,9675,1568,0.1620671834625323
disposable_income,1,"(-26011.605, 2110.602]",-26011.60389731567,2110.5560108278655,9675,2422,0.25033591731266147
disposable_income,2,"(2110.602, 3751.132]",2110.613571507384,3751.020384961001,9675,1775,0.1834625322997416
disposable_income,3,"(3751.132, 5242.203]",3751.2072111674343,5242.169696295219,9675,1376,0.14222222222222222
disposable_income,4,"(5242.203, 6799.533]",5242.253803413872,6799.458971085296,9675,1156,0.11948320413436693
disposable_income,5,"(6799.533, 8525.0]",6799.826629277448,8524.999873659977,9675,985,0.10180878552971576
disposable_income,6,"(8525.0, 10540.127]",8525.313867887893,10540.028405972804,9674,836,0.08641720074426297
disposable_income,7,"(10540.127, 13122.322]",10540.151411612938,13122.221941981019,9675,737,0.07617571059431524
disposable_income,8,"(13122.322, 16771.132]",13122.388830043095,16770.94024432499,9675,607,0.0627390180878553
disposable_income,9,"(16771.132, 23210.819]",16771.42008158238,23210.742794125887,9675,493,0.05095607235142119
disposable_income,10,"(23210.819, 70548.827]",23211.124490001275,70548.82674548787,9675,351,0.03627906976744186
months_of_runway,1,"(0.0378, 1.56]",0.03879899537972237,1.5599719547912407,9675,2216,0.2290439276485788
months_of_runway,2,"(1.56, 2.556]",1.5600152656787982,2.555983857770245,9675,1796,0.18563307493540052
months_of_runway,3,"(2.556, 3.371]",2.5560584209363437,3.3713771008442754,9675,1435,0.1483204134366925
months_of_runway,4,"(3.371, 4.155]",3.371483053338498,4.155117279427324,9675,1246,0.12878552971576226
months_of_runway,5,"(4.155, 4.938]",4.155330569133733,4.937654104952491,9675,1018,0.10521963824289406
months_of_runway,6,"(4.938, 5.783]",4.937688012466409,5.782450058860083,9674,928,0.09592722762042588
months_of_runway,7,"(5.783, 6.741]",5.782729280511137,6.741153378117615,9675,705,0.07286821705426356
months_of_runway,8,"(6.741, 7.999]",6.74134739445127,7.999439133771402,9675,596,0.06160206718346253
months_of_runway,9,"(7.999, 10.007]",7.999495745961575,10.007156587059598,9675,502,0.051886304909560726
months_of_runway,10,"(10.007, 27.09]",10.007179400894861,27.08954274724788,9675,296,0.030594315245478038
delinquency_rate,1,"(-0.001, 0.1]",0.0,0.1,49565,4385,0.08846968627055382
delinquency_rate,2,"(0.1, 0.167]",0.10526315789473684,0.16666666666666666,11053,887,0.08024970596218221
delinquency_rate,3,"(0.167, 0.25]",0.17647058823529413,0.25,10078,1057,0.10488192101607462
delinquency_rate,4,"(0.25, 0.364]",0.2631578947368421,0.36363636363636365,6781,842,0.12417047633092464
delinquency_rate,5,"(0.364, 0.667]",0.375,0.6666666666666666,10526,1592,0.1512445373361201
delinquency_rate,6,"(0.667, 10.0]",0.6923076923076923,10.0,8746,1975,0.22581751657900756
has_prior_default,1,"(-0.001, 1.0]",0.0,1.0,96749,10738,0.1109882272684989
credit_history_years,1,"(-0.001, 2.833]",0.0,2.8333333333333335,9918,2177,0.2194998991732204
credit_history_years,2,"(2.833, 5.0]",2.9166666666666665,5.0,9675,1739,0.17974160206718345
credit_history_years,3,"(5.0, 6.75]",5.083333333333333,6.75,9910,1541,0.1554994954591322
credit_history_years,4,"(6.75, 8.25]",6.833333333333333,8.25,9289,1197,0.12886209495101733
credit_history_years,5,"(8.25, 9.833]",8.333333333333334,9.833333333333334,10003,1089,0.10886733979806058
credit_history_years,6,"(9.833, 11.417]",9.916666666666666,11.416666666666666,9730,874,0.08982528263103802
credit_history_years,7,"(11.417, 13.083]",11.5,13.083333333333334,9412,733,0.07787930301742456
credit_history_years,8,"(13.083, 15.167]",13.166666666666666,15.166666666666666,9749,639,0.06554518412144836
credit_history_years,9,"(15.167, 18.0]",15.25,18.0,9465,466,0.049234020073956684
credit_history_years,10,"(18.0, 32.583]",18.083333333333332,32.583333333333336,9598,283,0.029485309439466555
accounts_per_year,1,"(0.0605, 0.353]",0.06153846153846154,0.35294117647058826,9698,995,0.10259847391214684
accounts_per_year,2,"(0.353, 0.439]",0.3540983606557377,0.43902439024390244,9722,925,0.09514503188644312
accounts_per_year,3,"(0.439, 0.506]",0.43956043956043955,0.5060240963855421,9657,847,0.08770839805322564
accounts_per_year,4,"(0.506, 0.571]",0.5063291139240507,0.5714285714285714,10359,905,0.08736364513949223
accounts_per_year,5,"(0.571, 0.632]",0.5730337078651685,0.6315789473684211,9056,879,0.09706272084805653
accounts_per_year,6,"(0.632, 0.706]",0.6335403726708074,0.7058823529411764,9781,906,0.09262856558634086
accounts_per_year,7,"(0.706, 0.791]",0.7058823529411765,0.7912087912087913,9458,961,0.10160710509621484
accounts_per_year,8,"(0.791, 0.923]",0.7916666666666666,0.923076923076923,9731,1035,0.1063611139656767
accounts_per_year,9,"(0.923, 1.187]",0.9230769230769231,1.1868131868131868,9622,1325,0.13770525878195802
accounts_per_year,10,"(1.187, 10.0]",1.1881188118811883,10.0,9665,1960,0.20279358510087947
active_loan_ratio,1,"(-0.001, 0.0909]",0.0,0.09090909090909091,39562,3151,0.07964713614074112
active_loan_ratio,2,"(0.0909, 0.133]",0.09375,0.13333333333333333,8865,665,0.07501410039481106
active_loan_ratio,3,"(0.133, 0.182]",0.13636363636363635,0.18181818181818182,10503,983,0.09359230695991622
active_loan_ratio,4,"(0.182, 0.25]",0.18518518518518517,0.25,13006,1520,0.11686913732123635
active_loan_ratio,5,"(0.25, 0.333]",0.2608695652173913,0.3333333333333333,9358,1328,0.14191066467193844
active_loan_ratio,6,"(0.333, 0.5]",0.35294117647058826,0.5,9123,1656,0.1815192370930615
active_loan_ratio,7,"(0.5, 1.0]",0.5333333333333333,1.0,6332,1435,0.22662665824384082
employment_stability,1,"(-0.001, 0.323]",0.0,0.3232827958681581,9676,1886,0.19491525423728814
employment_stability,2,"(0.323, 0.427]",0.3232987566562423,0.4266564678620755,9674,1223,0.12642133553855694
employment_stability,3,"(0.427, 0.477]",0.42668443654376836,0.4765843797198515,9675,1058,0.10935400516795865
employment_stability,4,"(0.477, 0.512]",0.47659080133428083,0.5118024380402187,9675,897,0.09271317829457364
employment_stability,5,"(0.512, 0.543]",0.5118031471653668,0.5431780164366841,9675,784,0.08103359173126615
employment_stability,6,"(0.543, 0.574]",0.543181415148332,0.574204658748879,9675,791,0.08175710594315246
employment_stability,7,"(0.574, 0.607]",0.5742072145144568,0.6067824961031444,9674,903,0.09334298118668596
employment_stability,8,"(0.607, 0.65]",0.6067850052672255,0.6495529401212965,9677,855,0.08835382866590885
employment_stability,9,"(0.65, 0.72]",0.6495749165530543,0.7198227711565609,9673,953,0.09852165822392225
employment_stability,10,"(0.72, 26.505]",0.7198283391986647,26.505380975597788,9675,1388,0.1434625322997416
income_per_dependent,1,"(904.764, 5420.518]",904.7653199113811,5420.2726751100145,9675,1922,0.19865633074935402
income_per_dependent,2,"(5420.518, 7715.574]",5420.579892795838,7715.292564301129,9675,1429,0.14770025839793283
income_per_dependent,3,"(7715.574, 9977.068]",7715.761041091455,9976.897118958668,9675,1286,0.13291989664082687
income_per_dependent,4,"(9977.068, 12456.334]",9977.32382353014,12456.21142429023,9675,1102,0.11390180878552972
income_per_dependent,5,"(12456.334, 15363.208]",12456.825461156723,15363.208194266419,9675,1054,0.10894056847545219
income_per_dependent,6,"(15363.208, 18929.936]",15363.480214510499,18929.810833652613,9674,933,0.09644407690717387
income_per_dependent,7,"(18929.936, 23673.005]",18929.96719326794,23672.60981062887,9675,905,0.09354005167958657
income_per_dependent,8,"(23673.005, 30537.11]",23673.268880880572,30535.838218768247,9675,826,0.08537467700258398
income_per_dependent,9,"(30537.11, 42767.168]",30539.017371889935,42767.129862703616,9675,746,0.07710594315245478
income_per_dependent,10,"(42767.168, 111022.767]",42767.31854346817,111022.76698586222,9675,535,0.05529715762273902
